               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10444,             0.33715,                   0,             0.61334,             0.50101,             0.52486,             0.20891,            0.081558,             0.35064,                   0,            0.070059,           0.0033268,           0.0033268
                   1,             0.07959,             0.37429,                   0,             0.77842,             0.58491,             0.67959,             0.32315,            0.071149,             0.33941,                   0,            0.039399,           0.0060008,           0.0060008
                   2,            0.075717,             0.36918,                   0,             0.81187,             0.61553,             0.71405,             0.33568,             0.06878,             0.33834,                   0,           0.0080799,           0.0080148,           0.0080148
                   3,            0.072694,             0.36651,                   0,             0.83822,             0.62743,             0.73926,             0.39133,            0.066231,             0.33061,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.070699,             0.36209,                   0,             0.85579,             0.65289,             0.76124,             0.40518,            0.065382,             0.33133,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.069346,             0.35873,                   0,             0.84885,             0.66127,             0.76745,              0.4136,            0.064407,              0.3304,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.068272,              0.3559,                   0,             0.87454,             0.65703,             0.77286,              0.4276,            0.063338,             0.32386,                   0,             0.00505,             0.00505,             0.00505
                   7,             0.06749,             0.35438,                   0,             0.87985,             0.66538,             0.77817,             0.43629,            0.062422,             0.32175,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.066511,             0.35201,                   0,             0.88303,             0.67825,             0.78704,             0.44268,            0.062114,             0.32036,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.065665,             0.34823,                   0,              0.8874,             0.67527,             0.78991,             0.44766,            0.061523,             0.31859,                   0,             0.00208,             0.00208,             0.00208
